timestamp,hour,min,active_window,keystrokes,mouse_clicks,idle_time_sec,label
2025-08-17 12:44:05,12,44,(42) LIFE IN LIMBO - OIJAGE FEAT. NICK PAONA |OFFICIAL MV - YouTube - Brave,0,3,52.141,Distracted
2025-08-17 12:45:05,12,45,(42) LIFE IN LIMBO - OIJAGE FEAT. NICK PAONA |OFFICIAL MV - YouTube - Brave,0,0,15.235,Distracted
2025-08-17 12:46:05,12,46,(42) LIFE IN LIMBO - OIJAGE FEAT. NICK PAONA |OFFICIAL MV - YouTube - Brave,0,0,75.235,Distracted
2025-08-17 12:49:25,12,49,(42) Durand cup imphal 🏆 | Neroca vs Real Kashmir 1-3 | Neroca ☠️ Real Kashmir 🔥 - YouTube - Brave,0,3,3.031,Distracted
2025-08-17 12:50:25,12,50,(42) The Final That Stopped Our Hearts: Full Highlights Argentina VS France - World Cup 2022 Peter Drury - YouTube - Brave,0,1,14.25,Distracted
2025-08-17 12:51:25,12,51,(42) The Final That Stopped Our Hearts: Full Highlights Argentina VS France - World Cup 2022 Peter Drury - YouTube - Brave,0,0,74.266,Distracted
2025-08-17 12:52:25,12,52,Spotify – Web Player - Brave,0,3,0.0,Distracted
2025-08-17 12:53:25,12,53,"Asuk Thuna • Sadananda, Pushparani Huidrom - Brave",0,1,55.578,Distracted
2025-08-17 12:54:25,12,54,"Asuk Thuna • Sadananda, Pushparani Huidrom - Brave",0,0,115.578,Distracted
2025-08-17 12:55:25,12,55,Nungsimalli • Aboy Ningthouja - Brave,0,1,28.125,Distracted
2025-08-17 12:56:25,12,56,Nungsimalli • Aboy Ningthouja - Brave,0,0,88.125,Distracted
2025-08-17 12:57:25,12,57,Choo Lo • The Local Train - Brave,0,1,6.875,Distracted
2025-08-17 12:58:25,12,58,Choo Lo • The Local Train - Brave,0,0,66.875,Distracted
2025-08-17 12:59:25,12,59,Choo Lo • The Local Train - Brave,0,0,23.578,Distracted
2025-08-17 13:00:25,13,0,Tehran Movies Watch Free HD CitySonic - Brave,0,2,32.438,Distracted
2025-08-17 13:01:25,13,1,Tehran Movies Watch Free HD CitySonic - Brave,0,0,25.813,Distracted
2025-08-17 13:02:25,13,2,Tehran Movies Watch Free HD CitySonic - Brave,0,0,85.813,Distracted
2025-08-17 13:03:25,13,3,Tehran Movies Watch Free HD CitySonic - Brave,0,0,145.813,Distracted
2025-08-17 13:04:25,13,4,"Mityengdei Houkhiba • Kenedy Khuman, Pushparani - Brave",0,5,9.797,Distracted
2025-08-17 13:05:25,13,5,"Mityengdei Houkhiba • Kenedy Khuman, Pushparani - Brave",0,0,69.797,Distracted
2025-08-17 13:06:25,13,6,"Mityengdei Houkhiba • Kenedy Khuman, Pushparani - Brave",0,0,129.797,Distracted
2025-08-17 13:07:25,13,7,CSV empty data error - Google Chrome,0,10,0.079,Distracted
2025-08-17 13:08:25,13,8,(2) Instagram - Google Chrome,0,4,53.36,Distracted
2025-08-17 13:09:25,13,9,(2) Instagram - Google Chrome,0,0,113.36,Distracted
2025-08-17 13:10:25,13,10,Facebook - Log in or register - Google Chrome,6,7,3.453,Distracted
2025-08-17 13:11:25,13,11,Facebook - Log in or register - Google Chrome,0,0,63.453,Distracted
2025-08-17 13:12:25,13,12,Facebook - Log in or register - Google Chrome,0,0,123.453,Distracted
2025-08-17 13:13:25,13,13,Facebook - Log in or register - Google Chrome,0,0,183.453,Distracted
2025-08-17 13:14:25,13,14,(42) Beragee Bomb MANIPUR MOVIE - YouTube - Brave,0,3,44.485,Distracted
2025-08-17 13:15:25,13,15,(42) Beragee Bomb MANIPUR MOVIE - YouTube - Brave,0,0,104.485,Distracted
2025-08-17 13:16:25,13,16,(42) Beragee Bomb MANIPUR MOVIE - YouTube - Brave,0,0,164.5,Distracted
2025-08-17 13:17:25,13,17,X. It’s what’s happening / X - Brave,8,2,34.421,Distracted
2025-08-17 13:18:25,13,18,X. It’s what’s happening / X - Brave,0,0,94.421,Distracted
2025-08-17 13:19:25,13,19,X. It’s what’s happening / X - Brave,0,0,154.421,Distracted
2025-08-17 13:20:25,13,20,"(42) ""I Want Him Broken"" | THE KARATE KID - YouTube - Brave",0,2,32.265,Distracted
2025-08-17 13:21:25,13,21,"(42) ""I Want Him Broken"" | THE KARATE KID - YouTube - Brave",0,0,92.265,Distracted
2025-08-17 13:22:25,13,22,"(42) ""I Want Him Broken"" | THE KARATE KID - YouTube - Brave",0,0,152.265,Distracted
2025-08-17 13:32:10,13,32,(42) Tayai || Gokul Athokpam || Kaiku Rajkumar || Olen Lairenjem || Binata Laishram || Prameshwori - YouTube - Brave,0,3,52.937,Distracted
2025-08-17 13:33:10,13,33,(42) Tayai || Gokul Athokpam || Kaiku Rajkumar || Olen Lairenjem || Binata Laishram || Prameshwori - YouTube - Brave,0,0,112.937,Distracted
2025-08-17 13:34:10,13,34,(42) Tayai || Gokul Athokpam || Kaiku Rajkumar || Olen Lairenjem || Binata Laishram || Prameshwori - YouTube - Brave,0,0,172.937,Distracted
2025-08-17 13:35:10,13,35,(42) Apunbana Pangalni - YouTube - Brave,0,1,50.797,Distracted
2025-08-17 13:36:10,13,36,(42) Apunbana Pangalni - YouTube - Brave,0,0,110.813,Distracted
2025-08-17 13:37:10,13,37,(42) Apunbana Pangalni - YouTube - Brave,0,1,0.016,Distracted
2025-08-17 13:38:10,13,38,(42) Keibu_Kei_Oiba_HD_(Part_02) - YouTube - Brave,0,0,59.922,Distracted
2025-08-17 13:39:10,13,39,(42) Keibu_Kei_Oiba_HD_(Part_02) - YouTube - Brave,0,0,119.922,Distracted
2025-08-17 13:40:10,13,40,(42) Keibu_Kei_Oiba_HD_(Part_02) - YouTube - Brave,0,0,179.922,Distracted
2025-08-17 13:41:10,13,41,X. It’s what’s happening / X - Brave,0,4,44.594,Distracted
2025-08-17 13:42:10,13,42,X. It’s what’s happening / X - Brave,0,0,104.594,Distracted
2025-08-17 13:43:10,13,43,X. It’s what’s happening / X - Brave,0,0,164.594,Distracted
2025-08-17 13:44:10,13,44,X. It’s what’s happening / X - Brave,0,0,224.594,Distracted
2025-08-17 13:45:10,13,45,Night Changes • One Direction - Brave,0,3,45.344,Distracted
2025-08-17 13:46:10,13,46,Night Changes • One Direction - Brave,0,0,105.344,Distracted
2025-08-17 13:47:10,13,47,"Heer Ranjha • Rito Riba, Rajat Nagpal, Rana Sotal - Brave",0,1,19.953,Distracted
2025-08-17 13:48:10,13,48,"Heer Ranjha • Rito Riba, Rajat Nagpal, Rana Sotal - Brave",0,0,79.953,Distracted
2025-08-17 13:49:10,13,49,(2) Instagram - Google Chrome,0,6,36.406,Distracted
2025-08-17 13:50:10,13,50,(2) Instagram - Google Chrome,0,0,96.406,Distracted
2025-08-17 13:51:10,13,51,(2) Instagram - Google Chrome,0,0,156.406,Distracted
2025-08-17 13:52:10,13,52,(2) Instagram - Google Chrome,0,0,216.406,Distracted
2025-08-17 13:53:10,13,53,(2) Instagram - Google Chrome,0,0,276.406,Distracted
2025-08-17 13:54:10,13,54,CSV empty data error - Google Chrome,0,1,49.328,Distracted
2025-08-17 13:55:10,13,55,CSV empty data error - Google Chrome,0,0,109.328,Distracted
2025-08-17 20:40:00,20,40,python.docx - Word,0,4,45.094,Neutral
2025-08-17 20:41:00,20,41,python.docx - Word,0,0,105.094,Neutral
2025-08-17 20:42:00,20,42,python.docx - Word,0,0,165.11,Neutral
2025-08-17 20:43:00,20,43,configs - File Explorer,0,6,0.688,Neutral
2025-08-17 20:44:00,20,44,configs - File Explorer,0,0,59.313,Neutral
2025-08-17 20:45:00,20,45,requirements.txt - Notepad,0,6,8.328,Neutral
2025-08-17 20:46:00,20,46,requirements.txt - Notepad,0,0,68.328,Neutral
2025-08-17 20:47:00,20,47,Image.ipynb - ...\Users\RICKY,0,14,16.735,Neutral
2025-08-17 20:48:00,20,48,Image.ipynb - ...\Users\RICKY,0,0,76.75,Neutral
2025-08-17 20:49:00,20,49,Image.ipynb - ...\Users\RICKY,0,0,136.75,Neutral
2025-08-17 20:50:00,20,50,Image.ipynb - ...\Users\RICKY,0,0,196.75,Neutral
2025-08-17 20:51:00,20,51,WhatsApp,0,7,29.828,Neutral
2025-08-17 20:52:00,20,52,WhatsApp,0,0,89.828,Neutral
2025-08-17 20:53:00,20,53,User Accounts,8,6,0.14,Neutral
2025-08-17 20:54:00,20,54,User Accounts,0,2,50.062,Neutral
2025-08-17 20:55:00,20,55,User Accounts,0,0,110.078,Neutral
2025-08-17 20:56:00,20,56,Wikipedia - Google Chrome,4,6,0.0,Neutral
2025-08-17 20:57:00,20,57,Wikimedia Commons - Google Chrome,0,7,45.094,Neutral
2025-08-17 20:58:00,20,58,Wikinews - Google Chrome,0,2,25.844,Neutral
2025-08-17 20:59:00,20,59,Wikinews - Google Chrome,0,0,5.281,Neutral
2025-08-17 21:00:00,21,0,Wikifunctions - Google Chrome,0,4,49.312,Neutral
2025-08-17 21:01:00,21,1,Wikifunctions - Google Chrome,0,0,109.312,Neutral
2025-08-17 21:02:00,21,2,Wikisource - Google Chrome,0,3,13.36,Neutral
