sl_no,timestamp,hour,min,active_window,keystrokes,mouse_clicks,idle_time_sec,label
1,2025-08-12 20:39:17,20,39,Haule Haule - Full Song | Rab Ne Bana Di Jodi | Shah Rukh Khan | Anushka Sharma | Sukhwinder Singh - YouTube - Brave,12,0,51.0,
2,2025-08-12 20:40:17,20,40,logger.py - DisTrack - Visual Studio Code,3,1,49.156,
3,2025-08-12 20:41:17,20,41,WhatsApp,2,8,0.0,
4,2025-08-12 20:42:17,20,42,WhatsApp,0,3,0.031,
5,2025-08-12 20:43:17,20,43,Spider Solitaire,0,12,0.0,
6,2025-08-12 20:44:17,20,44,Spider Solitaire,0,19,0.765,
7,2025-08-12 20:45:17,20,45,Spider Solitaire,2,16,0.0,
8,2025-08-12 20:46:17,20,46,Spider Solitaire,0,17,0.468,
9,2025-08-12 20:47:17,20,47,Spider Solitaire,0,17,1.109,
10,2025-08-12 20:48:17,20,48,Spider Solitaire,0,12,0.234,
11,2025-08-12 20:49:17,20,49,Program Manager,1,17,0.016,
12,2025-08-12 20:50:17,20,50,Macromedia Flash Player 7,0,26,0.016,
13,2025-08-12 20:51:17,20,51,Macromedia Flash Player 7,0,31,0.016,
14,2025-08-12 20:52:17,20,52,Macromedia Flash Player 7,0,19,0.328,
15,2025-08-12 20:53:17,20,53,Macromedia Flash Player 7,0,21,0.016,
16,2025-08-12 20:54:17,20,54,Macromedia Flash Player 7,0,28,0.016,
17,2025-08-12 20:55:17,20,55,Macromedia Flash Player 7,0,17,22.562,
18,2025-08-12 20:56:17,20,56,Macromedia Flash Player 7,0,0,82.562,
19,2025-08-12 20:57:17,20,57,Macromedia Flash Player 7,0,0,142.562,
20,2025-08-12 20:58:17,20,58,Macromedia Flash Player 7,0,0,202.562,
21,2025-08-12 20:59:17,20,59,Macromedia Flash Player 7,0,0,262.562,
22,2025-08-12 21:00:17,21,0,Macromedia Flash Player 7,0,0,322.562,
23,2025-08-12 21:01:17,21,1,Macromedia Flash Player 7,0,0,382.562,
24,2025-08-12 21:02:17,21,2,Macromedia Flash Player 7,0,0,442.562,
25,2025-08-12 21:03:17,21,3,Macromedia Flash Player 7,0,0,502.562,
26,2025-08-12 21:04:17,21,4,Macromedia Flash Player 7,0,0,562.562,
27,2025-08-12 21:05:17,21,5,Macromedia Flash Player 7,0,0,622.562,
